Date,Open_AAPL,Open_MSFT,High_AAPL,High_MSFT,Low_AAPL,Low_MSFT,Close_AAPL,Close_MSFT,Volume_AAPL,Volume_MSFT,MA_5_AAPL,MA_10_AAPL,MA_20_AAPL,Returns_AAPL,Volatility_10_AAPL,RSI_14_AAPL,MACD_AAPL,Signal_AAPL,Bollinger_Upper_AAPL,Bollinger_Lower_AAPL,Lag_1_Returns_AAPL,Target_Close_AAPL,MA_5_MSFT,MA_10_MSFT,MA_20_MSFT,Returns_MSFT,Volatility_10_MSFT,RSI_14_MSFT,MACD_MSFT,Signal_MSFT,Bollinger_Upper_MSFT,Bollinger_Lower_MSFT,Lag_1_Returns_MSFT,Target_Close_MSFT
2018-01-30,38.8473864642811,86.1122915799479,39.279205768081155,86.44455820924645,38.65259759135884,85.00473380174074,39.185333251953125,85.59542846679688,184192800,38635100,39.979513549804686,40.89689636230469,40.91356086730957,-0.005894547323559651,1.0828960813412871,31.58164058082785,-0.17883619296198816,0.09261210062117739,42.49057054040218,39.33655119421696,-0.020698461234312515,39.29329299926758,85.81140594482422,84.78507080078126,82.90822830200196,-0.012564078100911868,1.364133573904503,70.73385478520824,1.6315358136128282,1.2983625498344655,87.40082649883176,78.41563010517216,-0.0014881995983776486,87.6905517578125
2018-01-31,39.1618700218366,86.52761859227435,39.530327051641194,88.05050608782551,39.0750377505356,86.30610986033611,39.29329299926758,87.6905517578125,129915600,48756300,39.66081085205078,40.62301902770996,40.85688419342041,0.0027551060142909645,1.1098959019583494,33.18648624314467,-0.2637636679707853,0.021336946902784842,42.58206429740757,39.131704089433256,-0.005894547323559651,39.37544250488281,86.40025787353515,85.23455200195312,83.32633056640626,0.024477046596341756,1.5144950223787315,78.15183111866021,1.7661438552138833,1.391918810910349,87.9700893053404,78.68257182747212,-0.012564078100911868,86.99835205078125
2018-02-01,39.232284535306015,87.48752051399764,39.572577012854964,88.66891009496645,39.13606284176902,86.3707379556869,39.37544250488281,86.99835205078125,188923200,47227900,39.504512786865234,40.3536018371582,40.80466709136963,0.0020906750069729085,1.044816462994319,31.022543872781682,-0.3207431973106978,-0.047079081939911685,42.64493316011359,38.96440102262567,0.0027551060142909645,37.66693115234375,86.75652160644532,85.6185073852539,83.69136276245118,-0.00789366349231102,1.41308472779484,73.30318180684736,1.7962607903208863,1.4727872067924566,88.2815863146878,79.10113921021455,0.024477046596341756,84.70940399169922
2018-02-02,38.95769826348325,86.4261129176381,39.145446923123295,86.73069189777115,37.57305861302765,84.45097590248473,37.66693115234375,84.70940399169922,346375200,47867800,38.987736511230466,39.93210792541504,40.657637214660646,-0.043390276879483825,1.1986472357637756,17.122666367734965,-0.4980215894768705,-0.13726758344730344,42.97282363650082,38.34245079282047,0.0020906750069729085,36.7258415222168,86.33565521240234,85.78279647827148,83.90687522888183,-0.026310246172777663,1.1554297383474053,57.665352911769155,1.6167923240498112,1.5015882302439276,88.24403618590489,79.56971427185877,-0.00789366349231102,81.2206039428711
2018-02-05,37.33836925832738,83.58338289515814,38.4601628009349,86.05691975144741,36.610844631327524,81.2206039428711,36.7258415222168,81.2206039428711,290954000,51031500,38.44936828613281,39.45076942443848,40.440435791015624,-0.0249845050110592,1.4263879505674593,15.24367616601559,-0.7063121340106164,-0.25107649355996603,43.33529406881442,37.54557751321683,-0.043390276879483825,38.260684967041016,85.24286804199218,85.44960861206054,83.89810676574707,-0.041185510515101664,1.8319676089951455,48.95527720846636,1.179449307275064,1.437160445650155,88.25729479434733,79.53891873714682,-0.026310246172777663,84.2940673828125
2018-02-06,36.33626920112963,80.19611646337553,38.422618146423986,84.43251300283286,36.141480273828954,78.68246031219618,38.260684967041016,84.2940673828125,272975200,67998600,38.26443862915039,39.12197608947754,40.30760459899902,0.04179192038106838,1.258108091971311,24.867262171383956,-0.7390159367332956,-0.3486643821946319,43.35035247066486,37.26485672733318,-0.0249845050110592,37.44163513183594,84.98259582519532,85.39700088500976,84.03885917663574,0.037840933097508245,1.859400226218454,53.25314806930769,1.068537197520655,1.363435796024255,88.24838587695264,79.82933247631884,-0.041185510515101664,82.7065658569336
2018-02-07,38.27476741574191,83.51876929737556,38.34751917686184,84.70015868043156,37.33133650049833,82.32814832930426,37.44163513183594,82.7065658569336,206434400,41107600,37.894107055664065,38.77745895385742,40.13405475616455,-0.021407087612535847,1.1910556741648384,22.068201461242808,-0.8215540489485207,-0.44324231554540966,43.41790122624967,36.850208286079436,0.04179192038106838,36.41136932373047,83.98579864501953,85.19302825927734,84.10300521850586,-0.0188328974406875,2.041657638805481,48.77321170381905,0.8428248849931492,1.2593136138180339,88.18180567559808,80.02420476141363,0.037840933097508245,78.46095275878906
2018-02-08,37.61764984878874,82.79886864228153,37.78427774242691,82.95577039463444,36.38320827506247,78.23021240239825,36.41136932373047,78.46095275878906,217562000,55628700,37.301292419433594,38.402902603149414,39.90946178436279,-0.027516581593666878,1.2935751463239626,20.03105440790779,-0.9590446680093336,-0.5464027860381945,43.56517812735701,36.25374544136857,-0.021407087612535847,36.85672378540039,82.2783187866211,84.51742019653321,83.97332992553712,-0.051333446796577475,2.9490317616416295,39.80388792012556,0.31769852535472864,1.0709905961253727,88.58970167247831,79.35695817859592,-0.0188328974406875,81.38674926757812
2018-02-09,37.01224818986412,79.65158409908035,37.2054725383978,82.07897042588426,35.402814745410176,77.37186795773013,36.85672378540039,81.38674926757812,282690400,63499100,37.139250946044925,38.063493728637695,39.695519256591794,0.012231192342982533,1.196473704428531,24.633395329613563,-1.0203091028894775,-0.6411840494084511,43.54480281515289,35.846235698030696,-0.027516581593666878,38.34127426147461,81.61378784179688,83.9747215270996,83.97794494628906,0.03728984170997496,2.978700516324336,43.411506058971085,0.1360511157937907,0.8840027000590563,88.5832116848196,79.37267820775851,-0.051333446796577475,82.2635498046875
2018-02-12,37.34922082039222,81.90359540995188,38.61932982623296,82.86347614312584,37.115934171953185,81.15599890421433,38.34127426147461,82.2635498046875,243278000,35720300,37.462337493896484,37.95585289001465,39.53456478118896,0.04027895926719016,1.1061149640372392,35.0191575523376,-0.9382551708393407,-0.700598273694629,43.32427053782155,35.744859024556376,0.012231192342982533,38.72537612915039,81.82237701416015,83.53262252807617,83.95625648498535,0.010773259099299937,2.857434538243895,44.8108094380341,0.06212853159615861,0.7196278663664768,88.59090922075922,79.32160374921148,0.03728984170997496,82.90961456298828
